km4week,miles4weeks,sp4week,speed4week,xtrain,CrossTraining,Wall21,time,CATEGORY,,
32.2,20.0081462,12.71052632,7.89795245,0,,1.62,3.32,B,,
27.7,17.2119767,11.62237762,7.221808404,1,ciclista 3h,1.67,3.32,B,,
68,42.253228,11.79190751,7.327149361,0,,1.67,3.33,B,,
48.6,30.1986306,12.25210084,7.613100151,0,,1.66,3.33,B,,
39.6,24.6062916,12.24742268,7.610193278,0,,1.67,3.35,B,,
60.1,37.3443971,12.18243243,7.569810221,0,,1.55,3.36,B,,
78.2,48.5912122,12,7.456452,0,,1.64,3.39,C,,
50.3,31.2549613,10.16161616,6.314133595,0,,1.67,3.4,C,,
70.7,43.9309297,12.66268657,7.868226217,0,, -   ,3.45,C,,
121.7,75.6208507,9.907734057,6.156378619,0,,1.65,3.46,C,,
51.1,31.7520581,11.23076923,6.978474307,0,, -   ,3.47,C,,
70.7,43.9309297,11.78333333,7.321821615,0,,1.77,3.47,C,,
26.9,16.7148799,13.12195122,8.153599952,0,,1.67,3.5,C,,
56.2,34.9210502,12.08602151,7.509903272,0,,1.71,3.5,C,,
36.3,22.5557673,11.64705882,7.237144586,0,,1.72,3.51,C,,
22.7,14.1051217,12.72897196,7.909414036,0,,1.67,3.52,C,,
45.2,28.0859692,11.02439024,6.850236388,0,,1.77,3.52,C,,
43.2,26.8432272,10.93670886,6.795753721,0,,1.76,3.55,C,,
54.1,33.6161711,11.11643836,6.90743242,0,,1.63,3.55,C,,
48.8,30.3229048,11.66533865,7.248503142,0,,1.66,3.56,C,,
20.7,12.8623797,12.42,7.71742782,1,ciclista 5h,1.69,3.56,C,,
54.2,33.6783082,11.7826087,7.321371351,0,,1.69,3.59,C,,
60.3,37.4686713,11.70873786,7.275470153,0,,1.88,3.62,C,,
48.5,30.1364935,11.02272727,6.849203066,1,ciclista 3h,1.93,3.64,C,,
34.3,21.3130253,11.30769231,7.026272078,0,,1.74,3.64,C,,
59.1,36.7230261,10.91076923,6.779635587,0,,1.75,3.65,C,,
41.6,25.8490336,12.23529412,7.602656943,0,,1.8,3.67,C,,
87,54.059277,11.47252747,7.128695867,0,,1.81,3.68,D,,
24.2,15.0371782,11.52380952,7.160561045,1,ciclista 3h,1.76,3.69,D,,
52.3,32.4977033,11.70895522,7.275605214,0,,1.94,3.69,D,,
53.6,33.3054856,12.71146245,7.898534134,0,, -   ,3.75,D,,
66.7,41.4454457,11.56647399,7.18707151,0,,1.9,3.76,D,,
23.9,14.8507669,12.05042017,7.487781631,1,ciclista 4h,1.85,3.78,D,,
40.3,25.0412513,8.337931034,5.180948545,1,ciclista 5h,1.94,3.8,D,,
30.6,19.0139526,11.06024096,6.872512986,0,,1.97,3.87,D,,
28,17.398388,11.2,6.9593552,0,,1.97,3.89,D,,
53.9,33.4918969,11.80291971,7.333992023,0,,1.98,3.9,D,,
38.1,23.6742351,11.04347826,6.86209713,0,, -   ,3.9,D,,
35.6,22.1208076,11125,6912.752375,0,,2.05,3.92,D,,
50,31.06855,10.83032491,6.72964982,0,,2.02,3.93,D,,
33.6,20.8780656,10.13065327,6.294894153,1,ciclista 3h,1.94,3.93,D,,
55.4,34.4239534,11.04318937,6.861917622,0,,1.94,3.94,D,,
33.2,20.6295172,11.06666667,6.876505735,0,,2.05,3.95,D,,
17.9,11.1225409,10.84848485,6.74093388,1,ciclista 5h,2.05,3.98,D,,
